# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.38          	U             	(5.613761e-01 -9.284924e-01 -1.906705e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.516047e+00 8.542428e-01 6.055275e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.38          	p             	-2.190941e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290334e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.39          	U             	(5.636806e-01 -9.251058e-01 -1.933978e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538766e+00 8.611572e-01 6.328454e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.39          	p             	-2.107297e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.305292e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.4           	U             	(5.694798e-01 -9.294980e-01 -1.921044e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533484e+00 8.447209e-01 6.257150e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.4           	p             	-2.160946e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.288605e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.41          	U             	(5.621360e-01 -9.292839e-01 -1.909684e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.511266e+00 8.665724e-01 5.942658e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.41          	p             	-2.203559e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294842e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.42          	U             	(5.614109e-01 -9.272549e-01 -1.917823e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.524857e+00 8.571962e-01 6.233045e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.42          	p             	-2.126847e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298149e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.43          	U             	(5.684294e-01 -9.259110e-01 -1.940945e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.541576e+00 8.516344e-01 6.359384e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.43          	p             	-2.120325e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296855e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.44          	U             	(5.647047e-01 -9.294614e-01 -1.916377e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521233e+00 8.688886e-01 6.064816e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.44          	p             	-2.188998e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.300306e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.45          	U             	(5.625492e-01 -9.296933e-01 -1.905274e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509524e+00 8.590119e-01 6.014760e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.45          	p             	-2.189506e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.294308e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.46          	U             	(5.646900e-01 -9.246444e-01 -1.940488e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534258e+00 8.543331e-01 6.301470e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.46          	p             	-2.102569e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.302265e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.47          	U             	(5.669874e-01 -9.277304e-01 -1.917129e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538097e+00 8.545177e-01 6.275953e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.47          	p             	-2.142814e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290709e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.48          	U             	(5.652761e-01 -9.303955e-01 -1.913955e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.511794e+00 8.598741e-01 5.962380e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.48          	p             	-2.202048e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298567e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.49          	U             	(5.607946e-01 -9.256049e-01 -1.916334e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.523964e+00 8.526605e-01 6.172760e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.49          	p             	-2.152038e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.293464e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.5           	U             	(5.656272e-01 -9.256716e-01 -1.936651e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542807e+00 8.566323e-01 6.347100e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.5           	p             	-2.107432e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.303351e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.51          	U             	(5.687560e-01 -9.306613e-01 -1.922008e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521872e+00 8.623242e-01 6.154219e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.51          	p             	-2.184172e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296200e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.52          	U             	(5.616412e-01 -9.297937e-01 -1.905595e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.510405e+00 8.605433e-01 5.964725e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.52          	p             	-2.197973e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295632e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.53          	U             	(5.630441e-01 -9.244206e-01 -1.931285e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534182e+00 8.487982e-01 6.273510e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.53          	p             	-2.102682e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.300891e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.54          	U             	(5.688247e-01 -9.266839e-01 -1.930732e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.535189e+00 8.676718e-01 6.348122e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.54          	p             	-2.140564e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290736e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.55          	U             	(5.634646e-01 -9.303575e-01 -1.909589e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.517925e+00 8.624869e-01 5.965421e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
