# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0291        	DICPCG	1.932700e-02	8.224240e-04	4	true
0.0292        	DICPCG	1.975940e-02	7.914670e-04	4	true
0.0293        	DICPCG	1.906320e-02	8.707680e-04	4	true
0.0294        	DICPCG	1.633220e-02	8.070220e-04	4	true
0.0295        	DICPCG	1.967760e-02	7.747240e-04	4	true
0.0296        	DICPCG	1.846190e-02	8.242840e-04	4	true
0.0297        	DICPCG	1.913310e-02	7.426400e-04	4	true
0.0298        	DICPCG	2.126620e-02	9.864800e-04	4	true
0.0299        	DICPCG	2.069070e-02	7.202150e-04	4	true
0.03          	DICPCG	2.103450e-02	7.383970e-04	4	true
0.0301        	DICPCG	2.345560e-02	9.395010e-04	4	true
0.0302        	DICPCG	2.058020e-02	1.025180e-03	3	true
0.0303        	DICPCG	2.679640e-02	1.027040e-03	3	true
0.0304        	DICPCG	2.071570e-02	8.379640e-04	4	true
0.0305        	DICPCG	1.753480e-02	7.544520e-04	4	true
0.0306        	DICPCG	1.924400e-02	9.240990e-04	3	true
0.0307        	DICPCG	1.901830e-02	7.591460e-04	4	true
0.0308        	DICPCG	1.652290e-02	6.979080e-04	4	true
0.0309        	DICPCG	1.723900e-02	6.241180e-04	4	true
0.031         	DICPCG	1.619380e-02	6.309670e-04	4	true
0.0311        	DICPCG	1.690180e-02	8.152530e-04	4	true
0.0312        	DICPCG	1.223500e-02	6.015770e-04	6	true
0.0313        	DICPCG	1.797600e-02	8.598750e-04	4	true
0.0314        	DICPCG	1.511460e-02	6.797350e-04	4	true
0.0315        	DICPCG	1.730940e-02	8.077690e-04	4	true
0.0316        	DICPCG	1.752670e-02	8.070240e-04	4	true
0.0317        	DICPCG	2.508770e-02	1.211720e-03	3	true
0.0318        	DICPCG	2.208180e-02	9.685000e-04	4	true
0.0319        	DICPCG	1.386950e-02	6.156950e-04	7	true
0.032         	DICPCG	1.453110e-02	5.650140e-04	5	true
0.0321        	DICPCG	1.787120e-02	8.362290e-04	5	true
0.0322        	DICPCG	2.139780e-02	1.021480e-03	4	true
0.0323        	DICPCG	2.012900e-02	8.433520e-04	4	true
0.0324        	DICPCG	1.692900e-02	6.118810e-04	5	true
0.0325        	DICPCG	2.032310e-02	9.225110e-04	4	true
0.0326        	DICPCG	2.597130e-02	8.958460e-04	4	true
0.0327        	DICPCG	2.636310e-02	1.297970e-03	3	true
0.0328        	DICPCG	2.243510e-02	9.477050e-04	4	true
0.0329        	DICPCG	1.950100e-02	9.204180e-04	4	true
0.033         	DICPCG	1.712570e-02	7.680630e-04	4	true
0.0331        	DICPCG	1.734610e-02	8.361950e-04	4	true
0.0332        	DICPCG	1.916060e-02	9.453220e-04	3	true
0.0333        	DICPCG	2.148180e-02	1.017250e-03	3	true
0.0334        	DICPCG	1.465820e-02	7.304310e-04	4	true
0.0335        	DICPCG	2.055150e-02	7.354880e-04	4	true
0.0336        	DICPCG	1.781010e-02	7.187100e-04	4	true
0.0337        	DICPCG	1.508770e-02	6.570630e-04	7	true
0.0338        	DICPCG	1.487570e-02	5.567470e-04	4	true
0.0339        	DICPCG	1.630820e-02	7.810120e-04	6	true
0.034         	DICPCG	1.818020e-02	7.140380e-04	4	true
0.0341        	DICPCG	1.749420e-02	6.993390e-04	4	true
0.0342        	DICPCG	1.749460e-02	6.720270e-04	5	true
0.0343        	DICPCG	1.368980e-02	5.567750e-04	5	true
0.0344        	DICPCG	1.560310e-02	7.327920e-04	5	true
0.0345        	DICPCG	2.040060e-02	8.095020e-04	4	true
0.0346        	DICPCG	1.732170e-02	7.587650e-04	4	true
0.0347        	DICPCG	2.042320e-02	7.514310e-04	4	true
0.0348        	DICPCG	1.550190e-02	7.337490e-04	4	true
0.0349        	DICPCG	1.464290e-02	6.402490e-04	5	true
0.035         	DICPCG	1.469570e-02	7.317260e-04	4	true
0.0351        	DICPCG	1.826720e-02	8.992310e-04	4	true
0.0352        	DICPCG	1.675100e-02	7.492590e-04	4	true
0.0353        	DICPCG	1.629840e-02	7.392340e-04	4	true
0.0354        	DICPCG	1.835460e-02	7.889910e-04	4	true
0.0355        	DICPCG	2.078020e-02	9.915290e-04	3	true
0.0356        	DICPCG	1.719420e-02	8.122780e-04	4	true
0.0357        	DICPCG	1.869980e-02	8.462150e-04	4	true
0.0358        	DICPCG	1.698360e-02	7.595670e-04	4	true
0.0359        	DICPCG	1.530430e-02	6.825300e-04	4	true
0.036         	DICPCG	1.555590e-02	6.656980e-04	4	true
0.0361        	DICPCG	1.320470e-02	5.341940e-04	5	true
0.0362        	DICPCG	1.852710e-02	7.557020e-04	4	true
0.0363        	DICPCG	1.228600e-02	4.760780e-04	5	true
0.0364        	DICPCG	1.365420e-02	6.016160e-04	5	true
0.0365        	DICPCG	1.657510e-02	8.069050e-04	4	true
0.0366        	DICPCG	1.646440e-02	7.756980e-04	4	true
0.0367        	DICPCG	1.561680e-02	7.437030e-04	5	true
0.0368        	DICPCG	1.718710e-02	7.769270e-04	4	true
0.0369        	DICPCG	1.874820e-02	8.196240e-04	4	true
0.037         	DICPCG	1.940190e-02	8.204870e-04	4	true
0.0371        	DICPCG	2.103770e-02	9.050780e-04	4	true
0.0372        	DICPCG	2.274470e-02	8.553450e-04	4	true
0.0373        	DICPCG	2.508050e-02	1.213600e-03	3	true
0.0374        	DICPCG	1.798180e-02	6.681140e-04	5	true
0.0375        	DICPCG	1.629410e-02	7.488200e-04	4	true
0.0376        	DICPCG	1.808490e-02	7.363290e-04	4	true
0.0377        	DICPCG	2.102150e-02	9.046580e-04	4	true
0.0378        	DICPCG	2.127160e-02	8.430990e-04	4	true
0.0379        	DICPCG	1.683450e-02	7.270910e-04	5	true
0.038         	DICPCG	1.864860e-02	9.301890e-04	4	true
0.0381        	DICPCG	1.660500e-02	6.725460e-04	5	true
0.0382        	DICPCG	1.104310e-02	5.036000e-04	5	true
0.0383        	DICPCG	1.227880e-02	5.808810e-04	5	true
0.0384        	DICPCG	1.453110e-02	7.178530e-04	4	true
0.0385        	DICPCG	1.089920e-02	4.660140e-04	5	true
0.0386        	DICPCG	1.619470e-02	7.037650e-04	5	true
0.0387        	DICPCG	1.894880e-02	7.326610e-04	4	true
0.0388        	DICPCG	1.528400e-02	6.493490e-04	5	true
0.0389        	DICPCG	1.530650e-02	5.448600e-04	5	true
0.039         	DICPCG	1.221560e-02	5.952140e-04	5	true
0.0391        	DICPCG	1.359010e-02	5.698780e-04	5	true
0.0392        	DICPCG	1.503790e-02	6.994540e-04	5	true
0.0393        	DICPCG	1.762100e-02	6.810330e-04	4	true
0.0394        	DICPCG	1.503080e-02	7.246580e-04	5	true
0.0395        	DICPCG	1.550250e-02	5.898960e-04	5	true
0.0396        	DICPCG	1.868970e-02	8.166520e-04	4	true
0.0397        	DICPCG	2.362690e-02	1.010550e-03	4	true
0.0398        	DICPCG	2.636580e-02	1.219250e-03	3	true
0.0399        	DICPCG	2.181380e-02	9.598600e-04	4	true
0.04          	DICPCG	1.893090e-02	7.317850e-04	5	true
0.0401        	DICPCG	1.693240e-02	7.192950e-04	4	true
0.0402        	DICPCG	1.875670e-02	7.591530e-04	5	true
0.0403        	DICPCG	1.585840e-02	6.610150e-04	5	true
0.0404        	DICPCG	1.530690e-02	6.424900e-04	5	true
0.0405        	DICPCG	1.875220e-02	9.159970e-04	4	true
0.0406        	DICPCG	1.512600e-02	6.112450e-04	5	true
0.0407        	DICPCG	1.448900e-02	6.959700e-04	4	true
0.0408        	DICPCG	2.153080e-02	8.980490e-04	4	true
0.0409        	DICPCG	2.186320e-02	9.263920e-04	4	true
0.041         	DICPCG	1.606300e-02	6.122110e-04	5	true
0.0411        	DICPCG	1.487780e-02	6.312620e-04	5	true
0.0412        	DICPCG	1.642700e-02	7.594370e-04	5	true
0.0413        	DICPCG	1.650910e-02	7.044370e-04	5	true
0.0414        	DICPCG	2.194810e-02	8.535570e-04	4	true
0.0415        	DICPCG	1.768850e-02	7.659910e-04	4	true
0.0416        	DICPCG	1.796190e-02	8.345500e-04	4	true
0.0417        	DICPCG	1.909170e-02	8.440810e-04	4	true
0.0418        	DICPCG	1.651720e-02	7.567070e-04	4	true
0.0419        	DICPCG	1.685320e-02	8.403300e-04	5	true
0.042         	DICPCG	2.098790e-02	1.017950e-03	4	true
0.0421        	DICPCG	1.461710e-02	7.283110e-04	4	true
0.0422        	DICPCG	2.924120e-02	1.269090e-03	3	true
0.0423        	DICPCG	1.912380e-02	6.936560e-04	4	true
0.0424        	DICPCG	1.475190e-02	6.905410e-04	4	true
0.0425        	DICPCG	1.054120e-02	5.011670e-04	5	true
0.0426        	DICPCG	1.492770e-02	6.398200e-04	5	true
0.0427        	DICPCG	1.339210e-02	6.007500e-04	5	true
0.0428        	DICPCG	1.653230e-02	6.746340e-04	4	true
0.0429        	DICPCG	1.327790e-02	5.648190e-04	5	true
0.043         	DICPCG	1.130720e-02	5.108590e-04	5	true
0.0431        	DICPCG	2.091830e-02	9.303950e-04	3	true
0.0432        	DICPCG	1.783670e-02	8.494070e-04	4	true
0.0433        	DICPCG	1.436430e-02	6.771840e-04	5	true
