# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
2.32          	(1.999858e+00 -1.737268e-01 1.282716e-23)
2.33          	(1.998525e+00 -5.641077e-01 1.270030e-23)
2.34          	(1.999386e+00 -6.496497e-01 1.573372e-23)
2.35          	(2.001791e+00 -9.382202e-02 1.851346e-23)
2.36          	(1.999382e+00 5.405797e-01 -1.594862e-23)
2.37          	(2.001780e+00 6.618498e-01 5.179246e-23)
2.38          	(2.000276e+00 1.285942e-01 1.765897e-23)
2.39          	(1.999904e+00 -4.752312e-01 1.396044e-23)
2.4           	(1.997486e+00 -6.759602e-01 7.371996e-24)
2.41          	(2.003637e+00 -3.781156e-01 2.673487e-23)
2.42          	(2.000390e+00 3.747900e-01 -2.688007e-24)
2.43          	(1.996855e+00 5.948083e-01 1.060735e-23)
2.44          	(2.001802e+00 4.338679e-01 3.761981e-23)
2.45          	(1.999706e+00 -3.119611e-01 1.302724e-23)
2.46          	(1.997440e+00 -6.180642e-01 9.862382e-24)
2.47          	(2.003621e+00 -6.085652e-01 2.412353e-23)
2.48          	(2.000970e+00 8.096977e-02 1.122502e-23)
2.49          	(1.998141e+00 5.651152e-01 -1.346065e-23)
2.5           	(2.003114e+00 6.546921e-01 5.669943e-23)
2.51          	(1.999742e+00 -6.133389e-02 1.516022e-23)
2.52          	(1.999342e+00 -5.332014e-01 1.342158e-23)
2.53          	(1.997077e+00 -6.694660e-01 9.865186e-24)
2.54          	(2.002631e+00 -1.991489e-01 2.255125e-23)
2.55          	(1.999766e+00 4.902731e-01 -1.184812e-23)
2.56          	(1.998070e+00 6.376894e-01 3.785705e-23)
2.57          	(2.001705e+00 2.570900e-01 2.594931e-23)
2.58          	(2.000243e+00 -4.176663e-01 1.393269e-23)
2.59          	(1.997359e+00 -6.664493e-01 7.735128e-24)
2.6           	(2.004084e+00 -4.864720e-01 2.706541e-23)
2.61          	(2.000365e+00 2.554923e-01 2.698186e-24)
2.62          	(1.997240e+00 5.806511e-01 -2.068850e-24)
2.63          	(2.002936e+00 5.440016e-01 4.699399e-23)
2.64          	(1.999474e+00 -2.225575e-01 1.305579e-23)
2.65          	(1.997794e+00 -5.842470e-01 1.293263e-23)
2.66          	(2.000787e+00 -6.430417e-01 1.831805e-23)
2.67          	(2.002102e+00 -3.690807e-02 1.640933e-23)
2.68          	(1.998669e+00 5.505212e-01 -1.594950e-23)
2.69          	(2.002925e+00 6.677125e-01 5.626672e-23)
2.7           	(2.000341e+00 6.071765e-02 1.574900e-23)
2.71          	(1.999616e+00 -4.936363e-01 1.361784e-23)
2.72          	(1.997176e+00 -6.690709e-01 8.561833e-24)
2.73          	(2.003079e+00 -3.220621e-01 2.601578e-23)
2.74          	(1.999924e+00 4.183725e-01 -6.769004e-24)
2.75          	(1.996333e+00 6.116216e-01 2.116277e-23)
2.76          	(2.002100e+00 3.748273e-01 3.390821e-23)
2.77          	(1.999793e+00 -3.543406e-01 1.411176e-23)
2.78          	(1.997450e+00 -6.385490e-01 9.631865e-24)
2.79          	(2.003988e+00 -5.845469e-01 2.596814e-23)
2.8           	(2.001231e+00 1.455190e-01 8.011932e-24)
2.81          	(1.997992e+00 5.706855e-01 -1.165666e-23)
2.82          	(2.003306e+00 6.279526e-01 5.429246e-23)
2.83          	(2.000083e+00 -1.289639e-01 1.438770e-23)
2.84          	(1.999114e+00 -5.508491e-01 1.382100e-23)
2.85          	(1.997696e+00 -6.639844e-01 1.219610e-23)
2.86          	(2.002521e+00 -1.453857e-01 2.033831e-23)
2.87          	(1.999652e+00 5.181216e-01 -1.407495e-23)
2.88          	(2.000190e+00 6.535428e-01 4.686785e-23)
2.89          	(2.001626e+00 1.930630e-01 2.119221e-23)
2.9           	(1.999954e+00 -4.488536e-01 1.433760e-23)
2.91          	(1.997327e+00 -6.747831e-01 7.199711e-24)
2.92          	(2.003823e+00 -4.329537e-01 2.689744e-23)
2.93          	(2.000183e+00 3.116246e-01 -9.495251e-26)
2.94          	(1.997087e+00 5.858259e-01 5.792928e-24)
