# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0156        	smoothSolver	1.121220e-03	3.483600e-06	1	1.860230e-03	8.496960e-06	1	false	DICPCG	2.326510e-02	1.078850e-03	3	true
0.0157        	smoothSolver	1.122180e-03	3.541460e-06	1	1.819800e-03	8.672060e-06	1	false	DICPCG	2.334450e-02	1.032980e-03	3	true
0.0158        	smoothSolver	1.117790e-03	3.396980e-06	1	1.803950e-03	8.459650e-06	1	false	DICPCG	2.024090e-02	9.820980e-04	3	true
0.0159        	smoothSolver	1.117090e-03	3.391170e-06	1	1.804620e-03	8.467140e-06	1	false	DICPCG	2.022500e-02	8.172720e-04	3	true
0.016         	smoothSolver	1.109160e-03	3.271720e-06	1	1.833800e-03	8.543300e-06	1	false	DICPCG	2.087660e-02	1.011260e-03	3	true
0.0161        	smoothSolver	1.109720e-03	3.242460e-06	1	1.811990e-03	8.238080e-06	1	false	DICPCG	1.686580e-02	7.978060e-04	4	true
0.0162        	smoothSolver	1.107310e-03	3.188040e-06	1	1.818760e-03	8.037420e-06	1	false	DICPCG	1.817470e-02	9.062950e-04	3	true
0.0163        	smoothSolver	1.107540e-03	3.157890e-06	1	1.805070e-03	7.773910e-06	1	false	DICPCG	1.879580e-02	7.089800e-04	3	true
0.0164        	smoothSolver	1.107670e-03	3.124620e-06	1	1.812710e-03	7.781270e-06	1	false	DICPCG	2.025920e-02	7.379360e-04	3	true
0.0165        	smoothSolver	1.107930e-03	3.128660e-06	1	1.856930e-03	7.559860e-06	1	false	DICPCG	2.143420e-02	8.894880e-04	3	true
0.0166        	smoothSolver	1.108000e-03	3.121670e-06	1	1.882390e-03	7.732690e-06	1	false	DICPCG	2.020940e-02	8.033740e-04	4	true
0.0167        	smoothSolver	1.111220e-03	3.164730e-06	1	1.912690e-03	7.985940e-06	1	false	DICPCG	2.282810e-02	8.311120e-04	3	true
0.0168        	smoothSolver	1.113590e-03	3.246650e-06	1	1.937940e-03	8.506050e-06	1	false	DICPCG	2.687940e-02	9.716260e-04	3	true
0.0169        	smoothSolver	1.116100e-03	3.546650e-06	1	1.902490e-03	8.349910e-06	1	false	DICPCG	1.837950e-02	9.174390e-04	3	true
0.017         	smoothSolver	1.111770e-03	3.564310e-06	1	1.837010e-03	7.943150e-06	1	false	DICPCG	2.017540e-02	8.742620e-04	3	true
0.0171        	smoothSolver	1.110830e-03	3.509120e-06	1	1.821340e-03	7.749670e-06	1	false	DICPCG	1.858370e-02	7.282700e-04	4	true
0.0172        	smoothSolver	1.100510e-03	3.418480e-06	1	1.811690e-03	8.397620e-06	1	false	DICPCG	2.341620e-02	9.887880e-04	4	true
0.0173        	smoothSolver	1.109390e-03	3.453370e-06	1	1.858110e-03	8.992300e-06	1	false	DICPCG	2.611290e-02	1.243590e-03	3	true
0.0174        	smoothSolver	1.099560e-03	3.461240e-06	1	1.868530e-03	8.724850e-06	1	false	DICPCG	2.478610e-02	1.002920e-03	3	true
