# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.51          	U             	(4.671817e-01 -8.055727e-01 -2.034967e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.039603e+00 2.283462e+00 6.383329e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.51          	p             	-8.726087e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.002819e+00	(1.079755e-01 4.263860e-02 -1.025000e-02)	0
0.52          	U             	(4.852365e-01 -9.416257e-01 -2.183755e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.953553e+00 2.184688e+00 2.994856e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.52          	p             	-7.211641e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.558710e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.53          	U             	(5.398444e-01 -1.190415e+00 -1.803166e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.717088e+00 2.088339e+00 2.513772e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.53          	p             	-9.225822e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.159172e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.54          	U             	(-1.520991e-01 -1.058815e+00 -3.546126e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.653341e+00 2.025315e+00 2.816956e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.54          	p             	-9.332188e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.027085e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.55          	U             	(-1.472795e+00 -5.765304e-01 -4.155976e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.726544e+00 2.109084e+00 3.121764e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.55          	p             	-7.199057e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.632593e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
