# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
2.05          	p             	-7.096302e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.434286e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.06          	U             	(5.171108e-01 -1.136050e+00 -1.888636e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.777524e+00 2.107832e+00 2.583950e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.06          	p             	-8.797181e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.262357e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.07          	U             	(-1.395814e-01 -9.211798e-01 -3.481685e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.667646e+00 2.056083e+00 2.616347e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.07          	p             	-9.423628e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.038941e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.08          	U             	(-1.576308e-01 -1.151635e+00 -2.718422e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.724531e+00 2.049788e+00 3.429998e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.08          	p             	-7.902764e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.278247e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.09          	U             	(-5.221557e-02 -6.655926e-01 -1.207764e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.914942e+00 2.160576e+00 3.645289e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.09          	p             	-7.981216e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.980866e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.1           	U             	(4.933126e-01 -8.219830e-01 -2.199032e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.052634e+00 2.295061e+00 6.543385e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.1           	p             	-9.226177e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.257950e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.11          	U             	(4.980563e-01 -8.154531e-01 -2.088558e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.064850e+00 1.661643e+00 5.777205e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
2.11          	p             	-8.120646e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.119114e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.12          	U             	(4.553355e-01 -9.957884e-01 -2.020132e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.863544e+00 2.141626e+00 2.724162e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.12          	p             	-7.948528e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.394454e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.13          	U             	(6.510736e-01 -1.137559e+00 -1.811000e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.699517e+00 2.080245e+00 2.473865e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.13          	p             	-9.452167e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.095357e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.14          	U             	(-1.857853e-01 -1.121974e+00 -3.293855e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.702121e+00 1.988276e+00 3.140445e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.14          	p             	-8.702519e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.085456e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.15          	U             	(-1.321536e+00 -4.431014e-01 -3.338587e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.823528e+00 2.100184e+00 2.845895e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.15          	p             	-7.410181e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.009862e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.16          	U             	(4.815441e-01 -8.802592e-01 -2.337208e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.940888e+00 2.272786e+00 5.675553e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.16          	p             	-9.063146e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.524185e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.17          	U             	(5.050241e-01 -8.055997e-01 -2.038000e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.000675e+00 2.299568e+00 6.443584e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.17          	p             	-9.007280e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.019721e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.18          	U             	(4.565672e-01 -8.853241e-01 -2.209146e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.931592e+00 2.198679e+00 3.228413e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.18          	p             	-7.181402e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.525553e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.19          	U             	(5.450093e-01 -1.207789e+00 -1.815793e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.721371e+00 2.080432e+00 2.526658e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.19          	p             	-9.135855e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.175089e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.2           	U             	(-1.472499e-01 -1.044494e+00 -3.468599e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.691919e+00 1.989038e+00 2.742783e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.2           	p             	-9.330689e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.053393e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.21          	U             	(-1.473937e+00 -5.890253e-01 -4.239844e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.733196e+00 2.058312e+00 3.237585e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.21          	p             	-7.203277e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.552074e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.22          	U             	(5.542485e-01 -9.040684e-01 -2.499644e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.877903e+00 2.203313e+00 4.389259e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.22          	p             	-8.403034e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.826404e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.23          	U             	(4.824817e-01 -8.300877e-01 -2.091942e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.016440e+00 2.301554e+00 6.653171e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.23          	p             	-9.134336e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.112022e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.24          	U             	(5.414059e-01 -7.903982e-01 -2.169961e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.910819e+00 2.284258e+00 4.858849e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.24          	p             	-7.709365e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.312068e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.25          	U             	(4.758042e-01 -1.124540e+00 -1.920492e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.806043e+00 2.135408e+00 2.647810e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.25          	p             	-8.475088e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.298592e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.26          	U             	(-1.645358e+00 -8.790799e-01 -5.158717e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.732668e+00 2.025563e+00 2.534234e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.26          	p             	-9.472833e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.074987e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.27          	U             	(-1.776538e-01 -1.155905e+00 -3.002730e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.718416e+00 2.002885e+00 3.364401e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.27          	p             	-8.337007e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.163915e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.28          	U             	(6.042425e-01 -9.909342e-01 -2.578109e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.870691e+00 2.148590e+00 3.138800e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.28          	p             	-7.647310e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.069379e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.29          	U             	(4.903057e-01 -8.594427e-01 -2.231670e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.993443e+00 2.278842e+00 6.189852e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.29          	p             	-9.378174e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.349265e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.3           	U             	(4.819997e-01 -7.934589e-01 -2.048685e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.004167e+00 2.273598e+00 5.915260e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.3           	p             	-8.640863e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.058144e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.31          	U             	(4.769367e-01 -9.929434e-01 -2.119993e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.927381e+00 2.183648e+00 2.840748e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.31          	p             	-7.681841e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.494631e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.32          	U             	(5.662800e-01 -1.201719e+00 -1.807038e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.755831e+00 2.041276e+00 2.359453e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.32          	p             	-9.315853e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.155015e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.33          	U             	(-1.756487e-01 -1.098920e+00 -3.409534e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.651468e+00 2.052478e+00 3.081324e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.33          	p             	-9.016440e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.045257e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.34          	U             	(-1.360946e+00 -4.838812e-01 -3.671209e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.774321e+00 2.091672e+00 3.015342e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.34          	p             	-7.263827e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.868471e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.35          	U             	(-1.547690e+00 -5.502257e-01 -2.978479e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.971874e+00 2.244744e+00 5.143142e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.35          	p             	-8.769025e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.646429e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.36          	U             	(4.572340e-01 -8.040811e-01 -2.046123e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.041970e+00 2.268511e+00 6.650400e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.36          	p             	-9.112257e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.038669e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.37          	U             	(4.835701e-01 -9.172731e-01 -2.201253e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.842957e+00 2.260727e+00 3.491452e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.37          	p             	-6.899947e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.507691e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.38          	U             	(5.402730e-01 -1.123470e+00 -1.863959e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.747876e+00 2.089485e+00 2.456174e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.38          	p             	-8.962097e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.256912e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.39          	U             	(-1.412182e-01 -9.734726e-01 -3.497696e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.676097e+00 2.005924e+00 2.529655e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.39          	p             	-9.489705e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.060543e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.4           	U             	(-1.451336e-01 -1.149680e+00 -2.559547e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.659395e+00 2.084787e+00 3.265116e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.4           	p             	-7.678561e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.375647e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.41          	U             	(-1.491727e+00 -6.114037e-01 -2.673344e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.948999e+00 2.160428e+00 3.829930e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.41          	p             	-8.072450e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.954159e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.42          	U             	(4.658614e-01 -8.298189e-01 -2.165757e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.026327e+00 2.279729e+00 6.560808e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.42          	p             	-9.339685e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.210033e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.43          	U             	(5.036625e-01 -8.200475e-01 -2.083065e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.966744e+00 2.263829e+00 5.327841e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.43          	p             	-8.154169e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.143582e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.44          	U             	(5.266211e-01 -1.018190e+00 -1.995061e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.885498e+00 2.131308e+00 2.710891e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.44          	p             	-8.123340e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.349974e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.45          	U             	(-1.489136e+00 -8.067617e-01 -6.214787e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.670643e+00 2.063661e+00 2.517080e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.45          	p             	-9.434426e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.091629e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.46          	U             	(-1.879104e-01 -1.128322e+00 -3.230292e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.700234e+00 1.982681e+00 3.192710e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.46          	p             	-8.566569e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.120430e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.47          	U             	(-1.334292e+00 -4.427849e-01 -3.188121e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.800865e+00 2.143873e+00 2.905613e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.47          	p             	-7.414031e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.075836e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.48          	U             	(4.672754e-01 -8.735059e-01 -2.343077e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.979930e+00 2.256209e+00 5.682764e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.48          	p             	-9.019865e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.416121e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.49          	U             	(4.598639e-01 -8.093785e-01 -2.033750e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.015602e+00 2.287396e+00 6.330982e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.49          	p             	-8.818394e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.021262e+00	(1.079755e-01 4.263860e-02 -1.025000e-02)	0
2.5           	U             	(5.263201e-01 -9.338610e-01 -2.180108e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.938031e+00 2.171672e+00 3.110071e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.5           	p             	-7.243030e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.521302e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.51          	U             	(5.768157e-01 -1.135810e+00 -1.815282e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.712887e+00 2.086749e+00 2.502438e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.51          	p             	-9.221904e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.152529e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.52          	U             	(-1.563074e-01 -1.065227e+00 -3.527492e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.694930e+00 1.971932e+00 2.810567e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.52          	p             	-9.235670e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.040695e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.53          	U             	(-1.448814e+00 -5.569438e-01 -4.034208e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.775285e+00 2.049688e+00 3.077505e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.53          	p             	-7.209020e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.666620e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.54          	U             	(-1.557664e+00 -5.508067e-01 -2.866200e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.913098e+00 2.192421e+00 4.640858e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.54          	p             	-8.505561e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.791551e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.55          	U             	(4.573281e-01 -8.073835e-01 -2.084871e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.007683e+00 2.305548e+00 6.670779e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.55          	p             	-9.258830e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.060390e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.56          	U             	(4.715997e-01 -9.113536e-01 -2.151827e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.987234e+00 2.260941e+00 4.493585e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.56          	p             	-7.235835e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.381265e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.57          	U             	(5.329404e-01 -1.074218e+00 -1.911163e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.796245e+00 2.126943e+00 2.794951e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.57          	p             	-8.685459e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.265907e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.58          	U             	(-1.664254e+00 -8.825486e-01 -5.125930e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.673852e+00 2.046500e+00 2.550997e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.58          	p             	-9.473503e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.045943e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.59          	U             	(-1.667720e-01 -1.160415e+00 -2.834052e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.724177e+00 2.012138e+00 3.359262e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.59          	p             	-8.104632e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.249308e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.6           	U             	(-1.546880e+00 -5.425569e-01 -2.868793e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.875181e+00 2.127808e+00 3.348397e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.6           	p             	-7.926966e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	5.051271e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.61          	U             	(4.879076e-01 -8.298801e-01 -2.223469e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.131079e+00 1.594181e+00 6.331057e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
2.61          	p             	-9.284816e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.304501e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.62          	U             	(5.038749e-01 -8.180419e-01 -2.058383e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.029903e+00 2.277411e+00 5.595431e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.62          	p             	-8.351545e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.069423e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.63          	U             	(5.165102e-01 -9.583270e-01 -2.065746e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.852751e+00 2.197025e+00 3.016768e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.63          	p             	-7.807169e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.438387e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.64          	U             	(5.985630e-01 -1.168278e+00 -1.798577e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.667067e+00 2.095295e+00 2.680845e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.64          	p             	-9.401689e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.137739e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.65          	U             	(-1.826329e-01 -1.116388e+00 -3.351536e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.692908e+00 1.995409e+00 3.064469e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.65          	p             	-8.864006e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.082894e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.66          	U             	(-1.330357e+00 -4.576243e-01 -3.464294e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.810125e+00 2.086088e+00 2.790899e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.66          	p             	-7.312056e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.947477e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.67          	U             	(-1.538900e+00 -5.490557e-01 -3.021405e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.971551e+00 2.245245e+00 5.318475e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.67          	p             	-8.873846e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.581036e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.68          	U             	(4.964316e-01 -8.013659e-01 -2.028541e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.052452e+00 2.276954e+00 6.473488e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.68          	p             	-9.016530e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.003928e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.69          	U             	(4.525356e-01 -8.917339e-01 -2.217338e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.935149e+00 2.240274e+00 3.571813e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.69          	p             	-7.035030e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.521551e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.7           	U             	(5.022321e-01 -1.212689e+00 -1.826929e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.714584e+00 2.099528e+00 2.426582e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.7           	p             	-9.134924e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.194228e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.71          	U             	(-1.448607e-01 -1.019872e+00 -3.480809e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.667274e+00 2.024184e+00 2.697144e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.71          	p             	-9.421561e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.058701e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.72          	U             	(-1.366871e-01 -1.131358e+00 -2.393814e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.744429e+00 2.054397e+00 3.206962e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.72          	p             	-7.405777e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.458305e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.73          	U             	(-1.568700e+00 -5.531702e-01 -2.827005e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.912443e+00 2.154500e+00 4.150338e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.73          	p             	-8.253169e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.897810e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
